ticker,n_members,confirm_date,source_trade_date,entry_date,entry_price,exit_date,exit_price,exit_reason,market_cap_at_entry,gross_return,net_return,holding_days,disclosure_lag_days
MCD,2,2018-06-07,2018-04-06,2018-06-08 04:00:00+00:00,168.91,2018-09-06 04:00:00+00:00,163.74,stale_90d,132624314296.18,-0.030608016103250146,-0.031383219608965285,90,62
MRK,2,2016-02-08,2016-01-14,2016-02-09 05:00:00+00:00,49.16,2016-05-09 04:00:00+00:00,54.1,stale_90d,137330580614.91998,0.10048820179007323,0.09960816324405974,89,25
MRK,2,2017-10-16,2017-09-05,2017-10-17 04:00:00+00:00,63.22,2017-11-20 05:00:00+00:00,53.736999999999995,stop_loss,172423341374.8,-0.15000000000000002,-0.15067972810875652,34,41
MRK,2,2018-07-10,2018-04-24,2018-07-11 04:00:00+00:00,61.9,2018-10-09 04:00:00+00:00,72.34,stale_90d,166529811286.19998,0.16865912762520208,0.16772457414449415,90,77
MSFT,2,2016-05-04,2016-03-31,2016-05-05 04:00:00+00:00,49.94,2016-08-03 04:00:00+00:00,56.97,stale_90d,392551714788.63995,0.14076892270724883,0.1398566724691781,90,34
MSFT,2,2020-09-30,2020-07-23,2020-10-01 04:00:00+00:00,212.46,2020-12-29 05:00:00+00:00,224.15,stale_90d,1607823542570.1,0.05502212181116439,0.05417844158580576,89,69
NFLX,2,2016-07-05,2016-05-18,2016-07-06 04:00:00+00:00,94.6,2016-10-04 04:00:00+00:00,102.34,stale_90d,40516159833.6,0.08181818181818201,0.08095307331612811,90,48
NFLX,2,2018-08-01,2018-06-25,2018-08-02 04:00:00+00:00,344.5,2018-10-26 04:00:00+00:00,292.825,stop_loss,150015110472.5,-0.15000000000000002,-0.1506797281087564,85,37
NFLX,2,2019-06-24,2018-08-20,2019-06-25 04:00:00+00:00,360.3,2019-07-22 04:00:00+00:00,306.255,stop_loss,157520238327.30002,-0.15000000000000002,-0.15067972810875652,27,308
NFLX,2,2019-09-25,2019-08-14,2019-09-26 04:00:00+00:00,263.31,2019-12-19 05:00:00+00:00,329.1375,take_profit,115286302779.42,0.25,0.24900039984006406,84,42
NFLX,2,2020-04-05,2020-03-06,2020-04-06 04:00:00+00:00,379.96,2020-07-01 04:00:00+00:00,474.95,take_profit,166728974354.03998,0.25,0.24900039984006406,86,30
NFLX,2,2020-08-29,2020-07-15,2020-08-31 04:00:00+00:00,529.56,2020-11-27 05:00:00+00:00,491.36,stale_90d,233544137995.08,-0.0721353576554119,-0.07287735257132111,88,45
NKE,2,2016-02-08,2016-01-20,2016-02-09 05:00:00+00:00,55.68,2016-05-09 04:00:00+00:00,58.72,stale_90d,47625976475.52,0.05459770114942519,0.053754360324835604,89,19
NVDA,2,2018-03-07,2018-02-05,2018-03-08 05:00:00+00:00,241.18,2018-06-06 04:00:00+00:00,265.15,stale_90d,145826161127.80002,0.09938635044365185,0.09850719302626398,89,30
NWL,2,2017-09-12,2017-08-24,2017-09-13 04:00:00+00:00,44.22,2017-11-02 04:00:00+00:00,37.586999999999996,stop_loss,21672222000.0,-0.15000000000000002,-0.1506797281087564,50,19
PEP,2,2018-05-14,2018-04-05,2018-05-15 04:00:00+00:00,96.8,2018-08-13 04:00:00+00:00,113.02,stale_90d,137247762678.4,0.16756198347107443,0.1666283073547441,90,39
PFE,2,2017-03-15,2017-02-06,2017-03-16 04:00:00+00:00,34.43,2017-06-14 04:00:00+00:00,32.69,stale_90d,204922958950.82,-0.05053732210281736,-0.05129658853856067,90,37
PFE,2,2017-03-31,2017-02-13,2017-04-03 04:00:00+00:00,34.24,2017-06-30 04:00:00+00:00,33.59,stale_90d,203792103237.76,-0.018983644859813076,-0.01976814414421124,88,46
PG,2,2018-05-15,2018-04-20,2018-05-16 04:00:00+00:00,73.53,2018-08-14 04:00:00+00:00,81.31,stale_90d,184898499470.28,0.10580715354277159,0.10492286153674013,90,25
QCOM,2,2016-05-02,2016-03-22,2016-05-03 04:00:00+00:00,50.73,2016-08-01 04:00:00+00:00,61.85,stale_90d,74518065660.95999,0.21919968460477035,0.21822471484499073,90,41
QCOM,2,2017-03-21,2017-03-02,2017-03-22 04:00:00+00:00,57.04,2017-06-20 04:00:00+00:00,56.79,stale_90d,84250420750.48,-0.004382889200560958,-0.005179064419113089,90,19
SBUX,2,2016-06-16,2016-05-05,2016-06-17 04:00:00+00:00,55.31,2016-09-15 04:00:00+00:00,54.11,stale_90d,81023619000.0,-0.021695895859699887,-0.022478226210871588,90,42
SBUX,2,2016-09-30,2016-08-18,2016-10-03 04:00:00+00:00,53.84,2016-12-30 05:00:00+00:00,55.52,stale_90d,78961744000.0,0.031203566121842385,0.030378933122144902,88,43
SBUX,2,2017-06-06,2017-04-21,2017-06-07 04:00:00+00:00,63.5,2017-07-28 04:00:00+00:00,53.975,stop_loss,91954350000.0,-0.15000000000000002,-0.1506797281087564,51,46
SLB,2,2017-03-31,2017-03-16,2017-04-03 04:00:00+00:00,77.7,2017-06-20 04:00:00+00:00,66.045,stop_loss,108117647127.0,-0.15000000000000002,-0.1506797281087564,78,15
SLB,2,2017-12-20,2017-10-30,2017-12-21 05:00:00+00:00,67.86,2018-03-21 04:00:00+00:00,67.74,stale_90d,94003858283.4,-0.0017683465959328348,-0.0025666126122494415,89,51
T,2,2017-02-09,2017-01-20,2017-02-10 05:00:00+00:00,41.38,2017-05-11 04:00:00+00:00,38.44,stale_90d,254114580000.00003,-0.07104881585306921,-0.07179167965486588,89,20
T,2,2018-07-13,2018-06-13,2018-07-16 04:00:00+00:00,31.9,2018-10-12 04:00:00+00:00,32.25,stale_90d,195897900000.0,0.010971786833855912,0.010163332786007784,88,30
T,2,2019-02-12,2019-01-24,2019-02-13 05:00:00+00:00,29.84,2019-05-14 04:00:00+00:00,31.09,stale_90d,217175520000.0,0.04189008042895437,0.04105690163612863,89,19
T,2,2019-03-25,2019-01-31,2019-03-26 04:00:00+00:00,31.39,2019-06-24 04:00:00+00:00,32.58,stale_90d,228676150000.0,0.03791016247212475,0.03708016634059996,90,53
TGT,2,2017-04-26,2017-03-16,2017-04-27 04:00:00+00:00,56.09,2017-07-26 04:00:00+00:00,54.96,stale_90d,30999559876.690002,-0.020146193617400665,-0.02092976323465978,90,41
TJX,2,2020-05-02,2020-04-07,2020-05-04 04:00:00+00:00,47.7,2020-07-31 04:00:00+00:00,51.99,stale_90d,57130203567.600006,0.08993710691823886,0.08906550587312267,88,25
UPS,2,2017-03-21,2017-03-02,2017-03-22 04:00:00+00:00,106.52,2017-06-20 04:00:00+00:00,109.61,stale_90d,76047212920.84,0.029008636875704097,0.02818575911730692,90,19
UPS,2,2018-03-29,2018-02-13,2018-04-02 04:00:00+00:00,103.84,2018-06-29 04:00:00+00:00,106.23,stale_90d,74133895885.28,0.023016178736517734,0.02219809302781206,88,44
USB,2,2017-02-14,2017-01-25,2017-02-15 05:00:00+00:00,55.14,2017-05-16 04:00:00+00:00,51.96,stale_90d,93720155317.5,-0.05767138193688792,-0.05842494340675042,89,20
USB,2,2017-05-10,2017-03-16,2017-05-11 04:00:00+00:00,51.64,2017-08-09 04:00:00+00:00,53.23,stale_90d,87028024396.36,0.03079008520526716,0.029965782858041967,90,55
