ticker,sector,is_it,year,period,entry_date,surprise_pct,q,f_vol15x,f_rs,f_52w,f_nearearn,atr_pct,flat8_stop_pct,flat8_pos_dollar,flat8_ret_pct,flat8_ret_dollar,flat8_exit,flat8_hold,flat10_stop_pct,flat10_pos_dollar,flat10_ret_pct,flat10_ret_dollar,flat10_exit,flat10_hold,flat12_stop_pct,flat12_pos_dollar,flat12_ret_pct,flat12_ret_dollar,flat12_exit,flat12_hold,atr15_stop_pct,atr15_pos_dollar,atr15_ret_pct,atr15_ret_dollar,atr15_exit,atr15_hold,atr20_stop_pct,atr20_pos_dollar,atr20_ret_pct,atr20_ret_dollar,atr20_exit,atr20_hold
MMM,Industrials,False,2024,IS (2022-2024),2024-10-24,4.13,2,True,False,True,True,2.118,8.0,11000.0,4.6853,515.39,time,42,10.0,11000.0,4.6853,515.39,time,42,12.0,11000.0,4.6853,515.39,time,42,8.0,10000.0,4.6853,468.53,time,42,8.0,10000.0,4.6853,468.53,time,42
MMM,Industrials,False,2025,OOS (2025),2025-01-23,9.32,3,True,True,True,True,2.232,8.0,11000.0,-1.1945,-131.39,time,42,10.0,11000.0,-1.1945,-131.39,time,42,12.0,11000.0,-1.1945,-131.39,time,42,8.0,10000.0,-1.1945,-119.45,time,42,8.0,10000.0,-1.1945,-119.45,time,42
MMM,Industrials,False,2025,OOS (2025),2025-04-24,6.42,1,True,False,False,True,5.901,8.0,11000.0,8.9051,979.56,time,42,10.0,11000.0,8.9051,979.56,time,42,12.0,11000.0,8.9051,979.56,time,42,8.852,9037.83,8.9051,804.83,time,42,11.802,6778.37,8.9051,603.62,time,42
MMM,Industrials,False,2025,OOS (2025),2025-07-22,7.37,2,True,False,True,True,2.666,8.0,11000.0,1.3092,144.01,time,42,10.0,11000.0,1.3092,144.01,time,42,12.0,11000.0,1.3092,144.01,time,42,8.0,10000.0,1.3092,130.92,time,42,8.0,10000.0,1.3092,130.92,time,42
MMM,Industrials,False,2025,OOS (2025),2025-10-23,5.6,3,True,True,True,True,2.664,8.0,11000.0,1.6609,182.7,time,42,10.0,11000.0,1.6609,182.7,time,42,12.0,11000.0,1.6609,182.7,time,42,8.0,10000.0,1.6609,166.09,time,42,8.0,10000.0,1.6609,166.09,time,42
AOS,Industrials,False,2022,IS (2022-2024),2022-01-31,13.22,2,True,False,True,True,3.383,8.0,11000.0,-9.7807,-1075.88,hard_stop,23,10.0,11000.0,-11.4551,-1260.07,hard_stop,29,12.0,11000.0,-12.0133,-1321.46,hard_stop,36,8.0,10000.0,-9.7807,-978.07,hard_stop,23,8.0,10000.0,-9.7807,-978.07,hard_stop,23
AOS,Industrials,False,2022,IS (2022-2024),2022-05-02,2.81,2,True,True,False,True,3.287,8.0,11000.0,-3.8402,-422.42,time,42,10.0,11000.0,-3.8402,-422.42,time,42,12.0,11000.0,-3.8402,-422.42,time,42,8.0,10000.0,-3.8402,-384.02,time,42,8.0,10000.0,-3.8402,-384.02,time,42
AOS,Industrials,False,2022,IS (2022-2024),2022-08-01,1.28,1,False,True,False,True,2.902,8.0,11000.0,-8.9222,-981.44,hard_stop,30,10.0,11000.0,-9.374,-1031.14,time,42,12.0,11000.0,-9.374,-1031.14,time,42,8.0,10000.0,-8.9222,-892.22,hard_stop,30,8.0,10000.0,-8.9222,-892.22,hard_stop,30
AOS,Industrials,False,2023,IS (2022-2024),2023-02-02,8.88,2,True,True,False,True,3.26,8.0,11000.0,-8.6044,-946.49,hard_stop,22,10.0,11000.0,-5.1261,-563.87,time,42,12.0,11000.0,-5.1261,-563.87,time,42,8.0,10000.0,-8.6044,-860.44,hard_stop,22,8.0,10000.0,-8.6044,-860.44,hard_stop,22
AOS,Industrials,False,2023,IS (2022-2024),2023-05-01,20.11,1,True,False,False,True,2.043,8.0,11000.0,-0.5223,-57.45,time,42,10.0,11000.0,-0.5223,-57.45,time,42,12.0,11000.0,-0.5223,-57.45,time,42,8.0,10000.0,-0.5223,-52.23,time,42,8.0,10000.0,-0.5223,-52.23,time,42
