ticker,issuer_cik,issuer_name,n_insiders,confirm_date,entry_date,entry_price,exit_date,exit_price,exit_reason,market_cap_at_entry,gross_return,net_return,holding_days
ACAD,1070494,ACADIA PHARMACEUTICALS INC,2,2023-05-24,2023-05-25 04:00:00+00:00,24.45,2023-07-14 04:00:00+00:00,30.5625,take_profit,3976190516.5499997,0.25,0.24900039984006406,50
ACAD,1070494,ACADIA PHARMACEUTICALS INC,2,2023-05-24,2023-05-25 04:00:00+00:00,24.45,2023-07-14 04:00:00+00:00,30.5625,take_profit,3976190516.5499997,0.25,0.24900039984006406,50
ACAD,1070494,ACADIA PHARMACEUTICALS INC,2,2023-05-24,2023-05-25 04:00:00+00:00,24.45,2023-07-14 04:00:00+00:00,30.5625,take_profit,3976190516.5499997,0.25,0.24900039984006406,50
ACAD,1070494,ACADIA PHARMACEUTICALS INC,2,2023-05-24,2023-05-25 04:00:00+00:00,24.45,2023-07-14 04:00:00+00:00,30.5625,take_profit,3976190516.5499997,0.25,0.24900039984006406,50
ACAD,1070494,ACADIA PHARMACEUTICALS INC,2,2023-05-24,2023-05-25 04:00:00+00:00,24.45,2023-07-14 04:00:00+00:00,30.5625,take_profit,3976190516.5499997,0.25,0.24900039984006406,50
ACAD,1070494,ACADIA PHARMACEUTICALS INC,2,2023-05-24,2023-05-25 04:00:00+00:00,24.45,2023-07-14 04:00:00+00:00,30.5625,take_profit,3976190516.5499997,0.25,0.24900039984006406,50
ACAD,1070494,ACADIA PHARMACEUTICALS INC,2,2023-05-24,2023-05-25 04:00:00+00:00,24.45,2023-07-14 04:00:00+00:00,30.5625,take_profit,3976190516.5499997,0.25,0.24900039984006406,50
ACAD,1070494,ACADIA PHARMACEUTICALS INC,2,2023-05-24,2023-05-25 04:00:00+00:00,24.45,2023-07-14 04:00:00+00:00,30.5625,take_profit,3976190516.5499997,0.25,0.24900039984006406,50
ACAD,1070494,ACADIA PHARMACEUTICALS INC,2,2023-05-24,2023-05-25 04:00:00+00:00,24.45,2023-07-14 04:00:00+00:00,30.5625,take_profit,3976190516.5499997,0.25,0.24900039984006406,50
ACAD,1070494,ACADIA PHARMACEUTICALS INC,2,2023-05-24,2023-05-25 04:00:00+00:00,24.45,2023-07-14 04:00:00+00:00,30.5625,take_profit,3976190516.5499997,0.25,0.24900039984006406,50
ACAD,1070494,ACADIA PHARMACEUTICALS INC,2,2023-05-24,2023-05-25 04:00:00+00:00,24.45,2023-07-14 04:00:00+00:00,30.5625,take_profit,3976190516.5499997,0.25,0.24900039984006406,50
ACAD,1070494,ACADIA PHARMACEUTICALS INC,2,2023-05-24,2023-05-25 04:00:00+00:00,24.45,2023-07-14 04:00:00+00:00,30.5625,take_profit,3976190516.5499997,0.25,0.24900039984006406,50
ACAD,1070494,ACADIA PHARMACEUTICALS INC,2,2023-05-24,2023-05-25 04:00:00+00:00,24.45,2023-07-14 04:00:00+00:00,30.5625,take_profit,3976190516.5499997,0.25,0.24900039984006406,50
ACAD,1070494,ACADIA PHARMACEUTICALS INC,2,2023-05-24,2023-05-25 04:00:00+00:00,24.45,2023-07-14 04:00:00+00:00,30.5625,take_profit,3976190516.5499997,0.25,0.24900039984006406,50
ACAD,1070494,ACADIA PHARMACEUTICALS INC,2,2023-05-24,2023-05-25 04:00:00+00:00,24.45,2023-07-14 04:00:00+00:00,30.5625,take_profit,3976190516.5499997,0.25,0.24900039984006406,50
ACAD,1070494,ACADIA PHARMACEUTICALS INC,2,2023-05-24,2023-05-25 04:00:00+00:00,24.45,2023-07-14 04:00:00+00:00,30.5625,take_profit,3976190516.5499997,0.25,0.24900039984006406,50
