period,eps_threshold,score_cutoff,score_qmin,stop_key,stop_label,n,win_rate,avg_return,median_return,avg_winner,avg_loser,profit_factor,sharpe,max_drawdown_pct,max_consec_losses,avg_holding_days,total_pnl,avg_position_dollar,avg_return_vs_baseline
IS (2022-2024),10.0,>=4,1,atr20,"max(8%, 2.0xATR14)",1575,55.5,1.264,1.686,7.85,-6.95,1.432,0.141,-61.36,23,34.8,198290.0,9671.0,-0.546
OOS (2025),15.0,>=6,3,flat8,flat -8%,53,49.1,1.228,-0.2,9.03,-6.29,1.383,0.111,-5.71,5,34.0,7159.0,11000.0,0.0
OOS (2025),15.0,>=6,3,flat10,flat -10%,53,49.1,0.708,-0.2,9.03,-7.31,1.19,0.06,-7.71,5,36.0,4127.0,11000.0,-0.52
OOS (2025),15.0,>=6,3,flat12,flat -12%,53,49.1,0.376,-0.2,9.03,-7.96,1.093,0.031,-8.88,5,36.7,2192.0,11000.0,-0.852
OOS (2025),15.0,>=6,3,atr15,"max(8%, 1.5xATR14)",53,49.1,1.142,-0.2,9.03,-6.46,1.351,0.103,-5.33,5,34.1,5986.0,9919.0,-0.086
OOS (2025),15.0,>=6,3,atr20,"max(8%, 2.0xATR14)",53,49.1,1.313,-0.2,9.03,-6.12,1.355,0.12,-4.55,5,34.8,5502.0,9605.0,0.085
OOS (2025),15.0,>=5,2,flat8,flat -8%,190,53.7,0.626,0.907,7.57,-7.42,1.182,0.067,-25.19,8,32.2,13078.0,11000.0,-0.602
OOS (2025),15.0,>=5,2,flat10,flat -10%,190,54.2,0.383,0.954,7.79,-8.38,1.1,0.038,-29.83,8,34.1,8015.0,11000.0,-0.845
OOS (2025),15.0,>=5,2,flat12,flat -12%,190,55.8,0.484,1.404,7.71,-8.63,1.127,0.047,-30.66,8,35.3,10117.0,11000.0,-0.744
OOS (2025),15.0,>=5,2,atr15,"max(8%, 1.5xATR14)",190,53.7,0.518,0.907,7.57,-7.65,1.172,0.055,-23.06,8,32.2,11158.0,9856.0,-0.71
OOS (2025),15.0,>=5,2,atr20,"max(8%, 2.0xATR14)",190,54.2,0.672,0.954,7.79,-7.75,1.204,0.069,-21.76,8,33.0,12445.0,9515.0,-0.556
OOS (2025),15.0,>=4,1,flat8,flat -8%,341,56.0,1.629,2.341,8.44,-7.04,1.526,0.159,-31.19,14,33.3,61107.0,11000.0,0.401
OOS (2025),15.0,>=4,1,flat10,flat -10%,341,57.5,1.635,2.462,8.52,-7.67,1.501,0.152,-36.4,14,35.4,61347.0,11000.0,0.407
OOS (2025),15.0,>=4,1,flat12,flat -12%,341,58.7,1.789,2.639,8.44,-7.65,1.566,0.165,-37.9,14,36.6,67109.0,11000.0,0.561
OOS (2025),15.0,>=4,1,atr15,"max(8%, 1.5xATR14)",341,56.3,1.599,2.392,8.42,-7.19,1.506,0.155,-28.63,14,33.4,52771.0,9824.0,0.371
OOS (2025),15.0,>=4,1,atr20,"max(8%, 2.0xATR14)",341,57.5,1.844,2.462,8.52,-7.18,1.569,0.176,-27.34,14,34.4,54451.0,9446.0,0.616
OOS (2025),12.5,>=6,3,flat8,flat -8%,61,45.9,0.49,-0.354,8.71,-6.49,1.14,0.046,-8.94,6,33.4,3289.0,11000.0,-0.738
OOS (2025),12.5,>=6,3,flat10,flat -10%,61,45.9,-0.093,-0.354,8.71,-7.56,0.977,-0.008,-11.53,6,35.4,-621.0,11000.0,-1.321
OOS (2025),12.5,>=6,3,flat12,flat -12%,61,45.9,-0.426,-0.354,8.71,-8.18,0.904,-0.036,-12.65,6,36.0,-2857.0,11000.0,-1.654
OOS (2025),12.5,>=6,3,atr15,"max(8%, 1.5xATR14)",61,45.9,0.416,-0.354,8.71,-6.62,1.125,0.039,-8.09,6,33.5,2668.0,9903.0,-0.812
OOS (2025),12.5,>=6,3,atr20,"max(8%, 2.0xATR14)",61,45.9,0.547,-0.354,8.71,-6.38,1.122,0.051,-7.16,6,34.2,2377.0,9595.0,-0.681
OOS (2025),12.5,>=5,2,flat8,flat -8%,222,52.3,0.391,0.841,7.47,-7.35,1.111,0.043,-29.85,12,31.8,9554.0,11000.0,-0.837
OOS (2025),12.5,>=5,2,flat10,flat -10%,222,52.7,0.062,0.89,7.66,-8.41,1.016,0.006,-35.27,12,33.7,1514.0,11000.0,-1.166
OOS (2025),12.5,>=5,2,flat12,flat -12%,222,54.1,0.093,0.954,7.59,-8.73,1.023,0.009,-36.58,12,34.9,2271.0,11000.0,-1.135
OOS (2025),12.5,>=5,2,atr15,"max(8%, 1.5xATR14)",222,52.3,0.299,0.841,7.47,-7.54,1.106,0.032,-27.28,12,31.9,8176.0,9868.0,-0.929
OOS (2025),12.5,>=5,2,atr20,"max(8%, 2.0xATR14)",222,52.7,0.396,0.89,7.66,-7.7,1.131,0.041,-25.69,12,32.5,9542.0,9514.0,-0.832
OOS (2025),12.5,>=4,1,flat8,flat -8%,413,56.2,1.553,2.392,8.34,-7.14,1.496,0.155,-36.92,19,32.9,70546.0,11000.0,0.325
OOS (2025),12.5,>=4,1,flat10,flat -10%,413,57.4,1.462,2.492,8.41,-7.89,1.435,0.139,-42.81,19,34.9,66418.0,11000.0,0.234
OOS (2025),12.5,>=4,1,flat12,flat -12%,413,58.6,1.581,2.78,8.32,-7.96,1.48,0.149,-44.94,19,36.2,71822.0,11000.0,0.353
OOS (2025),12.5,>=4,1,atr15,"max(8%, 1.5xATR14)",413,56.4,1.528,2.408,8.32,-7.26,1.48,0.152,-33.78,19,33.1,61187.0,9831.0,0.3
OOS (2025),12.5,>=4,1,atr20,"max(8%, 2.0xATR14)",413,57.4,1.696,2.492,8.41,-7.34,1.529,0.166,-31.98,19,33.9,62360.0,9428.0,0.468
OOS (2025),10.0,>=6,3,flat8,flat -8%,80,50.0,0.927,-0.095,8.57,-6.71,1.276,0.089,-11.47,7,33.1,8160.0,11000.0,-0.301
OOS (2025),10.0,>=6,3,flat10,flat -10%,80,50.0,0.363,-0.095,8.57,-7.84,1.093,0.033,-14.59,7,35.0,3198.0,11000.0,-0.865
OOS (2025),10.0,>=6,3,flat12,flat -12%,80,51.2,0.395,0.179,8.36,-7.98,1.102,0.035,-15.28,7,36.4,3479.0,11000.0,-0.833
OOS (2025),10.0,>=6,3,atr15,"max(8%, 1.5xATR14)",80,50.0,0.87,-0.095,8.57,-6.82,1.266,0.083,-10.41,7,33.2,7091.0,9909.0,-0.358
OOS (2025),10.0,>=6,3,atr20,"max(8%, 2.0xATR14)",80,50.0,0.963,-0.095,8.57,-6.64,1.275,0.093,-9.5,7,33.7,6857.0,9631.0,-0.265
OOS (2025),10.0,>=5,2,flat8,flat -8%,275,53.8,0.593,0.997,7.23,-7.14,1.18,0.067,-31.97,12,32.4,17935.0,11000.0,-0.635
OOS (2025),10.0,>=5,2,flat10,flat -10%,275,54.2,0.279,1.226,7.39,-8.13,1.075,0.029,-37.67,12,34.1,8433.0,11000.0,-0.949
OOS (2025),10.0,>=5,2,flat12,flat -12%,275,55.6,0.345,1.582,7.29,-8.37,1.093,0.035,-38.8,12,35.3,10422.0,11000.0,-0.883
OOS (2025),10.0,>=5,2,atr15,"max(8%, 1.5xATR14)",275,53.8,0.518,0.997,7.23,-7.3,1.175,0.058,-29.28,12,32.4,15761.0,9886.0,-0.71
OOS (2025),10.0,>=5,2,atr20,"max(8%, 2.0xATR14)",275,54.2,0.591,1.226,7.39,-7.45,1.204,0.064,-27.62,12,33.0,17418.0,9558.0,-0.637
OOS (2025),10.0,>=4,1,flat8,flat -8%,502,57.0,1.578,2.4,7.99,-6.92,1.53,0.164,-39.08,22,33.4,87133.0,11000.0,0.35
OOS (2025),10.0,>=4,1,flat10,flat -10%,502,58.0,1.458,2.518,8.06,-7.64,1.454,0.144,-45.69,22,35.2,80494.0,11000.0,0.23
OOS (2025),10.0,>=4,1,flat12,flat -12%,502,59.2,1.577,2.717,7.97,-7.68,1.503,0.155,-47.72,22,36.5,87105.0,11000.0,0.349
OOS (2025),10.0,>=4,1,atr15,"max(8%, 1.5xATR14)",502,57.2,1.551,2.417,7.98,-7.03,1.516,0.161,-35.91,22,33.6,76051.0,9841.0,0.323
OOS (2025),10.0,>=4,1,atr20,"max(8%, 2.0xATR14)",502,58.0,1.685,2.518,8.06,-7.1,1.564,0.172,-33.94,22,34.2,77206.0,9465.0,0.457
