date,cash,mtm,equity,n_pos,invested_frac
2025-04-08,100162.9692344571,0.0,100162.9692344571,0,0.0
2025-04-09,100162.9692344571,0.0,100162.9692344571,0,0.0
2025-04-10,100162.9692344571,0.0,100162.9692344571,0,0.0
2025-04-11,100162.9692344571,0.0,100162.9692344571,0,0.0
2025-04-14,100162.9692344571,0.0,100162.9692344571,0,0.0
2025-04-15,100162.9692344571,0.0,100162.9692344571,0,0.0
2025-04-16,100162.9692344571,0.0,100162.9692344571,0,0.0
2025-04-17,100162.9692344571,0.0,100162.9692344571,0,0.0
2025-04-21,100162.9692344571,0.0,100162.9692344571,0,0.0
2025-04-22,100162.9692344571,0.0,100162.9692344571,0,0.0
2025-04-23,100162.9692344571,0.0,100162.9692344571,0,0.0
2025-04-24,100162.9692344571,0.0,100162.9692344571,0,0.0
2025-04-25,100162.9692344571,0.0,100162.9692344571,0,0.0
2025-04-28,100162.9692344571,0.0,100162.9692344571,0,0.0
2025-04-29,100162.9692344571,0.0,100162.9692344571,0,0.0
2025-04-30,100162.9692344571,0.0,100162.9692344571,0,0.0
2025-05-01,100162.9692344571,0.0,100162.9692344571,0,0.0
2025-05-02,100162.9692344571,0.0,100162.9692344571,0,0.0
2025-05-05,100162.9692344571,0.0,100162.9692344571,0,0.0
2025-05-06,100162.9692344571,0.0,100162.9692344571,0,0.0
2025-05-07,100162.9692344571,0.0,100162.9692344571,0,0.0
2025-05-08,100162.9692344571,0.0,100162.9692344571,0,0.0
2025-05-09,100162.9692344571,0.0,100162.9692344571,0,0.0
2025-05-12,100162.9692344571,0.0,100162.9692344571,0,0.0
2025-05-13,100162.9692344571,0.0,100162.9692344571,0,0.0
2025-05-14,100162.9692344571,0.0,100162.9692344571,0,0.0
2025-05-15,100162.9692344571,0.0,100162.9692344571,0,0.0
2025-05-16,100162.9692344571,0.0,100162.9692344571,0,0.0
2025-05-19,100162.9692344571,0.0,100162.9692344571,0,0.0
2025-05-20,100162.9692344571,0.0,100162.9692344571,0,0.0
2025-05-21,100162.9692344571,0.0,100162.9692344571,0,0.0
2025-05-22,100162.9692344571,0.0,100162.9692344571,0,0.0
2025-05-23,100162.9692344571,0.0,100162.9692344571,0,0.0
2025-05-27,100162.9692344571,0.0,100162.9692344571,0,0.0
2025-05-28,100162.9692344571,0.0,100162.9692344571,0,0.0
2025-05-29,100162.9692344571,0.0,100162.9692344571,0,0.0
2025-05-30,100162.9692344571,0.0,100162.9692344571,0,0.0
2025-06-02,100162.9692344571,0.0,100162.9692344571,0,0.0
2025-06-03,100162.9692344571,0.0,100162.9692344571,0,0.0
2025-06-04,95235.50277492755,4795.54345703125,100031.0462319588,1,0.047940550835697725
2025-06-05,95235.50277492755,4884.357849121094,100119.86062404864,1,0.048785104360681446
2025-06-06,95235.50277492755,4868.912261962891,100104.41503689044,1,0.04863833688223043
2025-06-09,95235.50277492755,4861.617980957031,100097.12075588458,1,0.048569009220689525
2025-06-10,95235.50277492755,4772.803924560547,100008.3066994881,1,0.04772407495011589
2025-06-11,95235.50277492755,4781.8135986328125,100017.31637356036,1,0.047809857052882175
2025-06-12,95235.50277492755,4798.546569824219,100034.04934475177,1,0.04796913252293502
2025-06-13,95235.50277492755,4791.682312011719,100027.18508693927,1,0.04790380043032299
2025-06-16,95235.50277492755,4875.347839355469,100110.85061428302,1,0.048699494704522
2025-06-17,95235.50277492755,4862.047332763672,100097.55010769122,1,0.048573090225812486
2025-06-18,95235.50277492755,4818.712677001953,100054.2154519295,1,0.048161016057510116
2025-06-20,95235.50277492755,4784.388366699219,100019.89114162677,1,0.047834368864934994
2025-06-23,95235.50277492755,4931.982666015625,100167.48544094317,1,0.04923736124856032
2025-06-24,95235.50277492755,4861.617980957031,100097.12075588458,1,0.048569009220689525
2025-06-25,95235.50277492755,4838.448760986328,100073.95153591387,1,0.048348732979230244
2025-06-26,95235.50277492755,4832.442199707031,100067.94497463458,1,0.048291610274718524
2025-06-27,95235.50277492755,4910.530181884766,100146.03295681231,1,0.049033696462069724
2025-06-30,95235.50277492755,4907.526397705078,100143.02917263262,1,0.049005172284584946
2025-07-01,95235.50277492755,4947.000244140625,100182.50301906817,1,0.0493798826647308
2025-07-02,95235.50277492755,4953.864837646484,100189.36761257403,1,0.0494450155310169
2025-07-03,100126.54912389605,0.0,100126.54912389605,0,0.0
2025-07-07,100126.54912389605,0.0,100126.54912389605,0,0.0
2025-07-08,100126.54912389605,0.0,100126.54912389605,0,0.0
2025-07-09,100126.54912389605,0.0,100126.54912389605,0,0.0
2025-07-10,100126.54912389605,0.0,100126.54912389605,0,0.0
2025-07-11,100126.54912389605,0.0,100126.54912389605,0,0.0
2025-07-14,100126.54912389605,0.0,100126.54912389605,0,0.0
2025-07-15,100126.54912389605,0.0,100126.54912389605,0,0.0
2025-07-16,100126.54912389605,0.0,100126.54912389605,0,0.0
2025-07-17,100126.54912389605,0.0,100126.54912389605,0,0.0
2025-07-18,100126.54912389605,0.0,100126.54912389605,0,0.0
2025-07-21,100126.54912389605,0.0,100126.54912389605,0,0.0
2025-07-22,100126.54912389605,0.0,100126.54912389605,0,0.0
2025-07-23,100126.54912389605,0.0,100126.54912389605,0,0.0
2025-07-24,100126.54912389605,0.0,100126.54912389605,0,0.0
2025-07-25,100126.54912389605,0.0,100126.54912389605,0,0.0
