gap,vol,entry,maxhold,period,n_trades,total_return_pct,cagr_pct,max_drawdown_pct,sharpe,win_rate_pct,expectancy_pct,median_return_pct,profit_factor,largest_winner_contrib_pct,expectancy_ex_top1_pct,avg_invested_frac_pct,recon_ok
0.08,1.5,next_open,20,OOS_2025,4,-0.2748976263351688,-0.36077139072229203,-0.6223165608758249,-0.44406730516869525,50.0,-0.42975776457949977,-0.22709248867532894,0.626965957508361,90.22407782947074,-1.454507222558136,1.7395026828617735,True
0.08,1.5,next_open,30,IS_2022_2024,8,0.5453089272247746,0.18994789559574343,-0.8153627683694608,0.3402880090496541,37.5,1.243731234427814,-3.2123722392537357,1.4683247587541912,39.244409848743736,-0.32463182816376357,0.9910514664738475,True
0.08,1.5,next_open,30,OOS_2025,4,-0.2607422805991244,-0.3422017260622634,-0.7196076179810551,-0.3830374477389875,50.0,-0.3619836963030282,-1.2323819376164002,0.8101139595820865,79.24597348996627,-2.1247001885188506,2.520411501078859,True
0.08,1.5,breakout,10,IS_2022_2024,8,-0.02119510466256358,-0.007577610207765151,-0.7841968478796821,-0.017319491751370215,50.0,-0.18505904115679872,-0.17496403394622329,0.898276746279846,49.48144115279117,-1.2526097416434956,0.41183568040864665,True
0.08,1.5,breakout,10,OOS_2025,3,0.21357883457464588,0.6249297398720044,-0.2609758039501048,0.8944573318542227,66.66666666666666,2.564595176225326,2.306499850200616,4.379183178642961,76.98149867165542,0.0008068172943687113,1.7137656679633209,True
0.08,1.5,breakout,20,IS_2022_2024,8,-0.1306464983110045,-0.046048418656019496,-0.9286593293910418,-0.09305597803668102,37.5,-0.46773364195614453,-2.399194382422065,0.8104371129575563,51.21161175328785,-1.7384079377345114,0.7081600171572593,True
0.08,1.5,breakout,20,OOS_2025,3,-0.08612127517846346,-0.22437510911128555,-0.5463882872762909,-0.23786659759802417,66.66666666666666,0.5592981526710172,0.1727899484303741,3.2946976707641067,92.83253952809181,-0.28316726289152605,3.092300150532069,True
0.08,1.5,breakout,30,IS_2022_2024,8,0.09113851476614254,0.03167206999468153,-0.9286593293910418,0.060659547241656155,37.5,0.09222170312040978,-3.282092367546474,1.0282439913405623,45.597680247235466,-1.3668252097484426,0.9855632774763143,True
0.08,1.5,breakout,30,OOS_2025,3,-0.0719631942889265,-0.1693791112826859,-0.5584201986462577,-0.1638109940289146,66.66666666666666,0.6463257559771913,1.1696837618559108,1.5293588110114518,79.38550508533844,-1.289014753547657,4.212225303935478,True
0.08,2.0,next_open,10,IS_2022_2024,8,0.4667051351028295,0.1672499299796959,-0.6692771129085452,0.4077538312848557,50.0,1.030394134474197,0.9406970094446798,1.5575662895350941,41.082851258371846,-0.16817231562590138,0.4045715094251382,True
