ticker,sector,earn_date,entry_date,entry_price,exit_date,exit_price,exit_reason,holding_days,return_pct,return_dollar,eps_reported,eps_estimate,surprise_pct,spy_bull_regime,year
AAPL,Information Technology,2025-07-31,2025-08-04,203.7019,2025-09-15,236.0322,time,42,15.87,1745.85,1.57,1.43,9.48,True,2025
AAPL,Information Technology,2025-10-30,2025-11-03,269.6571,2025-12-15,273.6017,time,42,1.46,160.91,1.85,1.77,4.52,True,2025
AMAT,Information Technology,2025-02-13,2025-02-18,169.6646,2025-02-27,155.0584,hard_stop,9,-8.61,-946.98,2.38,2.3,3.67,True,2025
AMAT,Information Technology,2025-05-15,2025-05-19,160.8988,2025-06-30,181.7368,time,42,12.95,1424.61,2.39,2.31,3.45,True,2025
AMAT,Information Technology,2025-08-14,2025-08-18,160.6317,2025-09-29,204.0406,time,42,27.02,2972.63,2.48,2.36,5.13,True,2025
AMAT,Information Technology,2025-11-13,2025-11-17,223.2052,2025-12-17,247.6529,trail_stop,30,10.95,1204.83,2.17,2.09,3.65,True,2025
APP,Information Technology,2025-02-12,2025-02-14,473.56,2025-02-21,415.31,hard_stop,7,-12.3,-1353.05,2.07,1.83,13.29,True,2025
APP,Information Technology,2025-05-07,2025-05-09,343.045,2025-06-09,383.6,trail_stop,31,11.82,1300.43,2.38,1.96,21.79,False,2025
APP,Information Technology,2025-08-06,2025-08-08,448.6,2025-08-19,412.6,hard_stop,11,-8.02,-882.75,2.39,1.98,20.42,True,2025
APP,Information Technology,2025-11-05,2025-11-07,614.0,2025-11-13,556.15,hard_stop,6,-9.42,-1036.4,2.45,2.39,2.61,True,2025
APTV,Consumer Discretionary,2025-05-01,2025-05-05,58.25,2025-06-16,69.18,time,42,18.76,2064.03,1.69,1.53,10.12,False,2025
APTV,Consumer Discretionary,2025-07-31,2025-08-04,66.2,2025-09-15,82.8,time,42,25.08,2758.31,2.12,1.83,15.78,True,2025
APTV,Consumer Discretionary,2025-10-30,2025-11-03,80.86,2025-11-19,72.36,hard_stop,16,-10.51,-1156.32,2.17,1.83,18.78,True,2025
ACGL,Financials,2025-02-10,2025-02-12,88.43,2025-03-26,95.93,time,42,8.48,932.94,2.42,1.93,25.53,True,2025
ACGL,Financials,2025-04-29,2025-05-01,90.13,2025-06-12,91.91,time,42,1.97,217.24,1.54,1.31,17.21,False,2025
ACGL,Financials,2025-07-29,2025-07-31,85.35,2025-09-11,92.29,time,42,8.13,894.44,2.58,2.3,12.21,True,2025
ACGL,Financials,2025-10-27,2025-10-29,84.59,2025-12-10,91.77,time,42,8.49,933.68,3.56,2.43,46.61,True,2025
ADM,Consumer Staples,2025-05-06,2025-05-08,45.1974,2025-06-20,51.9728,time,43,14.99,1648.99,0.7,0.67,4.46,False,2025
ADM,Consumer Staples,2025-11-04,2025-11-06,54.8827,2025-12-18,57.4849,time,42,4.74,521.54,0.92,0.85,7.91,True,2025
ARES,Financials,2025-05-05,2025-05-07,154.8761,2025-06-18,163.0063,time,42,5.25,577.44,1.09,0.94,15.91,False,2025
ARES,Financials,2025-11-03,2025-11-05,148.0402,2025-12-17,166.2467,time,42,12.3,1352.81,1.19,1.14,4.68,True,2025
ANET,Information Technology,2025-02-18,2025-02-20,104.7,2025-02-24,92.69,hard_stop,4,-11.47,-1261.8,0.65,0.57,13.96,True,2025
ANET,Information Technology,2025-05-06,2025-05-08,87.52,2025-05-23,91.2,trail_stop,15,4.2,462.52,0.65,0.59,9.98,False,2025
ANET,Information Technology,2025-08-05,2025-08-07,139.08,2025-09-12,139.39,trail_stop,36,0.22,24.52,0.73,0.65,12.38,True,2025
ANET,Information Technology,2025-11-04,2025-11-06,140.65,2025-11-17,127.26,hard_stop,11,-9.52,-1047.21,0.67,0.66,1.21,True,2025
AJG,Financials,2025-01-30,2025-02-03,296.2427,2025-03-17,325.9121,time,42,10.02,1101.68,2.13,2.03,4.98,True,2025
AIZ,Financials,2025-02-11,2025-02-13,203.9091,2025-03-27,208.2509,time,42,2.13,234.22,4.79,4.13,15.89,True,2025
AIZ,Financials,2025-05-06,2025-05-08,194.7331,2025-06-20,193.8808,time,43,-0.44,-48.15,3.39,2.78,22.1,False,2025
AIZ,Financials,2025-08-05,2025-08-07,207.106,2025-09-18,207.4209,time,42,0.15,16.73,5.1,4.45,14.51,True,2025
