ticker,sector,earn_date,entry_date,entry_price,exit_date,exit_price,exit_reason,holding_days,return_pct,return_dollar,eps_reported,eps_estimate,surprise_pct,year
APD,Materials,2024-08-01,2024-08-05,263.5852,2024-09-16,276.2567,time,42,4.81,528.81,3.2,3.04,5.3,2024
APD,Materials,2024-11-07,2024-11-11,300.9115,2024-12-23,282.4112,time,42,-6.15,-676.29,3.56,3.47,2.49,2024
ABNB,Consumer Discretionary,2022-02-15,2022-02-17,184.9,2022-02-22,165.24,hard_stop,5,-10.63,-1169.6,0.08,-0.03,416.84,2022
ABNB,Consumer Discretionary,2022-05-03,2022-05-05,152.19,2022-05-06,135.84,hard_stop,1,-10.74,-1181.75,-0.01,-0.24,94.2,2022
ABNB,Consumer Discretionary,2022-08-02,2022-08-04,114.31,2022-08-19,114.76,trail_stop,15,0.39,43.3,0.65,0.52,26.31,2022
ABNB,Consumer Discretionary,2022-11-01,2022-11-03,94.08,2022-11-17,99.3,trail_stop,14,5.55,610.33,1.79,1.55,15.57,2022
ABNB,Consumer Discretionary,2023-02-14,2023-02-16,135.65,2023-02-24,122.78,hard_stop,8,-9.49,-1043.64,0.48,0.33,45.75,2023
ABNB,Consumer Discretionary,2023-05-09,2023-05-11,113.14,2023-06-22,127.96,time,42,13.1,1440.87,0.18,0.15,16.86,2023
ABNB,Consumer Discretionary,2023-08-03,2023-08-07,142.0,2023-08-15,129.85,hard_stop,8,-8.56,-941.2,0.98,0.79,24.58,2023
ABNB,Consumer Discretionary,2023-11-01,2023-11-03,117.98,2023-12-15,146.6,time,42,24.26,2668.42,6.63,2.15,208.14,2023
ABNB,Consumer Discretionary,2024-05-08,2024-05-10,147.75,2024-06-21,149.57,time,42,1.23,135.5,0.41,0.23,75.72,2024
AKAM,Information Technology,2022-02-15,2022-02-17,104.41,2022-03-31,119.39,time,42,14.35,1578.2,1.49,1.42,4.98,2022
AKAM,Information Technology,2022-08-09,2022-08-11,96.34,2022-09-02,88.26,hard_stop,22,-8.39,-922.57,1.35,1.31,3.22,2022
AKAM,Information Technology,2022-11-08,2022-11-10,91.8,2022-12-19,84.07,hard_stop,39,-8.42,-926.25,1.26,1.22,2.98,2022
AKAM,Information Technology,2023-02-14,2023-02-16,78.03,2023-03-13,70.75,hard_stop,25,-9.33,-1026.27,1.37,1.26,8.7,2023
AKAM,Information Technology,2023-05-09,2023-05-11,85.32,2023-06-22,88.26,time,42,3.45,379.04,1.4,1.32,6.01,2023
AKAM,Information Technology,2023-08-08,2023-08-10,103.7,2023-09-21,107.93,time,42,4.08,448.7,1.49,1.41,5.94,2023
AKAM,Information Technology,2023-11-07,2023-11-09,110.5,2023-12-21,119.49,time,42,8.14,894.93,1.63,1.5,8.76,2023
AKAM,Information Technology,2024-02-13,2024-02-15,114.2,2024-03-28,108.76,time,42,-4.76,-523.99,1.69,1.61,4.75,2024
AKAM,Information Technology,2024-05-09,2024-05-13,91.47,2024-06-24,88.74,time,42,-2.98,-328.3,1.64,1.61,1.96,2024
AKAM,Information Technology,2024-08-08,2024-08-12,101.22,2024-09-23,100.72,time,42,-0.49,-54.34,1.58,1.53,3.02,2024
ALB,Materials,2022-02-16,2022-02-18,189.584,2022-02-23,172.5043,hard_stop,5,-9.01,-991.0,1.01,0.99,1.85,2022
ALB,Materials,2022-05-04,2022-05-06,223.6749,2022-05-11,202.3331,hard_stop,5,-9.54,-1049.55,2.38,1.65,43.87,2022
ALB,Materials,2022-08-03,2022-08-05,220.9132,2022-08-30,259.4776,trail_stop,25,17.46,1920.25,3.45,3.25,6.02,2022
ALB,Materials,2022-11-02,2022-11-04,270.4035,2022-11-15,281.8049,trail_stop,11,4.22,463.81,7.5,6.99,7.29,2022
ALB,Materials,2023-02-15,2023-02-17,266.046,2023-02-21,230.8333,hard_stop,4,-13.24,-1455.91,8.62,8.37,3.02,2023
ALB,Materials,2023-05-03,2023-05-05,171.4988,2023-05-31,184.9755,trail_stop,26,7.86,864.41,10.32,7.04,46.59,2023
ALB,Materials,2023-08-02,2023-08-04,192.359,2023-08-15,176.2158,hard_stop,11,-8.39,-923.15,7.33,4.52,62.22,2023
ALB,Materials,2024-02-14,2024-02-16,114.3903,2024-03-05,105.2772,trail_stop,18,-7.97,-876.34,1.85,1.11,66.72,2024
ALB,Materials,2024-05-01,2024-05-03,123.6657,2024-06-07,110.9612,hard_stop,35,-10.27,-1130.06,0.26,0.23,11.7,2024
ARE,Real Estate,2022-01-31,2022-02-02,160.3236,2022-03-16,157.1578,time,42,-1.97,-217.21,0.58,0.56,3.57,2022
ARE,Real Estate,2022-07-25,2022-07-27,130.2991,2022-09-07,128.3531,time,42,-1.49,-164.28,0.78,0.67,17.01,2022
ARE,Real Estate,2023-04-24,2023-04-26,102.9272,2023-06-07,104.0291,time,42,1.07,117.76,0.83,0.79,4.59,2023
ARE,Real Estate,2023-07-24,2023-07-26,106.8724,2023-09-06,100.1443,time,42,-6.3,-692.5,0.51,0.39,31.47,2023
ARE,Real Estate,2024-01-29,2024-01-31,107.7928,2024-03-13,110.5842,time,42,2.59,284.85,0.82,0.8,2.11,2024
ARE,Real Estate,2024-04-22,2024-04-24,105.4438,2024-06-05,103.8106,time,42,-1.55,-170.38,0.89,0.63,42.12,2024
ARE,Real Estate,2024-07-22,2024-07-24,109.198,2024-09-04,106.1294,time,42,-2.81,-309.12,0.88,0.61,45.02,2024
ALGN,Health Care,2022-02-02,2022-02-04,496.89,2022-03-07,435.57,hard_stop,31,-12.34,-1357.48,2.83,2.73,3.79,2022
ALGN,Health Care,2023-02-01,2023-02-03,350.41,2023-02-09,321.38,hard_stop,6,-8.28,-911.3,1.73,1.53,12.71,2023
ALGN,Health Care,2023-04-26,2023-04-28,317.02,2023-05-17,291.36,hard_stop,19,-8.09,-890.35,1.82,1.69,7.39,2023
ALGN,Health Care,2023-07-26,2023-07-28,396.37,2023-08-04,361.44,hard_stop,7,-8.81,-969.37,2.22,2.04,9.09,2023
ALGN,Health Care,2024-01-31,2024-02-02,270.0,2024-03-15,314.35,time,42,16.43,1806.85,2.42,2.18,11.22,2024
ALGN,Health Care,2024-04-24,2024-04-26,311.2,2024-04-30,282.38,hard_stop,4,-9.26,-1018.7,2.14,1.98,8.27,2024
ALGN,Health Care,2024-07-24,2024-07-26,226.39,2024-08-05,207.94,hard_stop,10,-8.15,-896.46,2.41,2.3,4.56,2024
ALGN,Health Care,2024-10-23,2024-10-25,222.5,2024-12-06,232.35,time,42,4.43,486.97,2.35,2.31,1.55,2024
ALLE,Industrials,2022-02-15,2022-02-17,107.9291,2022-03-31,103.9783,time,42,-3.66,-402.65,1.11,1.01,9.96,2022
ALLE,Industrials,2022-04-26,2022-04-28,110.7126,2022-06-09,102.7944,time,42,-7.15,-786.72,1.07,0.98,9.04,2022
ALLE,Industrials,2022-07-28,2022-08-01,99.5509,2022-08-31,90.4403,hard_stop,30,-9.15,-1006.69,1.37,1.33,2.71,2022
ALLE,Industrials,2022-10-27,2022-10-31,100.5548,2022-12-12,105.3018,time,42,4.72,519.28,1.64,1.48,11.1,2022
ALLE,Industrials,2023-02-22,2023-02-24,107.6139,2023-03-23,98.4642,hard_stop,27,-8.5,-935.26,1.6,1.38,16.28,2023
ALLE,Industrials,2023-04-26,2023-04-28,107.1582,2023-06-09,108.4579,time,42,1.21,133.42,1.58,1.36,16.6,2023
ALLE,Industrials,2023-07-26,2023-07-28,113.0491,2023-08-17,102.3212,hard_stop,20,-9.49,-1043.86,1.76,1.72,2.6,2023
ALLE,Industrials,2023-10-31,2023-11-02,97.4276,2023-12-14,115.0923,time,42,18.13,1994.42,1.94,1.74,11.36,2023
ALLE,Industrials,2024-02-20,2024-02-22,129.0636,2024-04-04,128.1141,time,42,-0.74,-80.92,1.68,1.58,6.09,2024
ALLE,Industrials,2024-04-25,2024-04-29,121.2009,2024-06-10,114.8842,time,42,-5.21,-573.29,1.55,1.45,7.21,2024
ALLE,Industrials,2024-07-24,2024-07-26,131.7052,2024-09-06,132.0488,time,42,0.26,28.7,1.96,1.84,6.3,2024
ALLE,Industrials,2024-10-24,2024-10-28,140.9923,2024-12-09,139.3177,time,42,-1.19,-130.65,2.16,1.98,9.03,2024
LNT,Utilities,2022-04-28,2022-05-02,51.5368,2022-06-13,50.1813,time,42,-2.63,-289.33,0.77,0.72,6.94,2022
LNT,Utilities,2022-08-04,2022-08-08,54.3292,2022-09-19,54.523,time,42,0.36,39.24,0.63,0.58,8.62,2022
LNT,Utilities,2023-08-03,2023-08-07,46.8589,2023-09-18,47.5421,time,42,1.46,160.38,0.64,0.58,9.8,2023
LNT,Utilities,2023-11-02,2023-11-06,46.9106,2023-12-18,46.7635,time,42,-0.31,-34.5,1.05,0.93,13.08,2023
LNT,Utilities,2024-10-31,2024-11-04,54.8776,2024-12-16,57.0895,time,42,4.03,443.36,1.15,1.1,4.37,2024
ALL,Financials,2022-08-03,2022-08-05,104.2589,2022-08-30,112.7568,trail_stop,25,8.15,896.59,-0.76,-1.15,34.19,2022
ALL,Financials,2022-11-02,2022-11-04,118.1578,2022-12-16,121.693,time,42,2.99,329.11,-1.56,-1.59,1.74,2022
ALL,Financials,2023-11-01,2023-11-03,125.5065,2023-12-15,132.9162,time,42,5.9,649.42,0.81,0.49,63.67,2023
ALL,Financials,2024-02-07,2024-02-09,153.2656,2024-03-22,158.8653,time,42,3.65,401.9,5.82,3.94,47.88,2024
